"verbo","papel"
"degradar","Experiencer"
"deixar","Experiencer"
"deleitar","Experiencer"
"delibar","Experiencer"
"deliciar","Experiencer"
"demandar","Experiencer"
"deparar","Experiencer"
"deplorar","Experiencer"
"deprecar","Experiencer"
"deprimir","Experiencer"
"derrancar2","Experiencer"
"derreter","Experiencer"
"desacorçoar","Experiencer"
"desacordar","Experiencer"
"desacoroçoar","Experiencer"
"desadorar1","Experiencer"
"desafligir","Experiencer"
"desagradar","Experiencer"
"desagradecer","Experiencer"
"desalentar","Experiencer"
"desamar","Experiencer"
"desancar","Experiencer"
"desangustiar","Experiencer"
"desanimar","Experiencer"
"desapertar","Experiencer"
"desapontar","Experiencer"
"desapoquentar","Experiencer"
"desaprovar","Experiencer"
"desassossegar","Experiencer"
"descair","Experiencer"
"descobrir","Experiencer"
"desconfiar","Experiencer"
"desconfortar","Experiencer"
"desconsolar","Experiencer"
"descontentar","Experiencer"
"descorar","Experiencer"
"descoroçoar","Experiencer"
"descortinar","Experiencer"
"descrer","Experiencer"
"desdenhar","Experiencer"
"desejar","Experiencer"
"desemburrar","Experiencer"
"desempedernir","Experiencer"
"desencantar","Experiencer"
"desencorajar","Experiencer"
"desencruar","Experiencer"
"desenfadar","Experiencer"
"desenfastiar","Experiencer"
"desenganar","Experiencer"
"desenjoar","Experiencer"
"desenraivecer","Experiencer"
"desenrubescer","Experiencer"
"desensoberbecer","Experiencer"
"desentediar","Experiencer"
"desentristecer","Experiencer"
"desesperançar","Experiencer"
"desesperar","Experiencer"
"desestimular","Experiencer"
"desfalecer","Experiencer"
"desfazer","Experiencer"
"desfibrar","Experiencer"
"desgostar","Experiencer"
"desiludir","Experiencer"
"desinquietar","Experiencer"
"desinteressar","Experiencer"
"deslumbrar","Experiencer"
"desmaiar","Experiencer"
"desmiuçar","Experiencer"
"desmotivar","Experiencer"
"desonestar","Experiencer"
"desonrar","Experiencer"
"despertar","Experiencer"
"despiolhar","Experiencer"
"desprazer","Experiencer"
"despreocupar","Experiencer"
"desprezar","Experiencer"
"desquerer","Experiencer"
"desvelar1","Experiencer"
"detectar","Experiencer"
"detestar","Experiencer"
"devassar","Experiencer"
"dever","Experiencer"
"devorar","Experiencer"
"diferenciar","Experiencer"
"digerir","Experiencer"
"dilacerar","Experiencer"
"diluir","Experiencer"
"diminuir","Experiencer"
"discernir","Experiencer"
"discorrer","Experiencer"
"discriminar","Experiencer"
"dissecar","Experiencer"
"distinguir","Experiencer"
"distrair","Experiencer"
"ditar","Experiencer"
"divertir","Experiencer"
"divinizar","Experiencer"
"divisar","Experiencer"
"dourar","Experiencer"
"duvidar","Experiencer"
"edulcorar","Experiencer"
"eletrizar","Experiencer"
"elevar","Experiencer"
"elogiar","Experiencer"
"embalar1","Experiencer"
"embaraçar","Experiencer"
"embasbacar","Experiencer"
"embatucar","Experiencer"
"embeiçar","Experiencer"
"embelezar","Experiencer"
"embevecer","Experiencer"
"emborrascar","Experiencer"
"embrandecer","Experiencer"
"embravecer","Experiencer"
"embriagar","Experiencer"
"embruscar","Experiencer"
"emburrar","Experiencer"
"emocionar","Experiencer"
"empalecer","Experiencer"
"empalidecer","Experiencer"
"empolgar","Experiencer"
"empunhar","Experiencer"
"enaltar","Experiencer"
"enaltecer","Experiencer"
"enamorar","Experiencer"
"encabular","Experiencer"
"encadear","Experiencer"
"encantar","Experiencer"
"encarar","Experiencer"
"encarecer","Experiencer"
"encarniçar","Experiencer"
"encasar","Experiencer"
"encasquetar","Experiencer"
"encolerizar","Experiencer"
"encomiar","Experiencer"
"encorajar","Experiencer"
"encostar","Experiencer"
"encrespar","Experiencer"
"encumear","Experiencer"
"enervar","Experiencer"
"enfadar","Experiencer"
"enfadonhar","Experiencer"
"enfarar","Experiencer"
"enfastiar","Experiencer"
"enfeitiçar","Experiencer"
"enfermar","Experiencer"
"enfezar","Experiencer"
"enfurecer","Experiencer"
"enfuriar","Experiencer"
"engodilhar","Experiencer"
"engolir","Experiencer"
"engraçar","Experiencer"
"engrandecer","Experiencer"
"engrolar","Experiencer"
"engrossar","Experiencer"
"enjeitar","Experiencer"
"enjoar","Experiencer"
"enlevar","Experiencer"
"enlutar","Experiencer"
"enobrecer","Experiencer"
"enoitecer","Experiencer"
"enraivar","Experiencer"
"enraivecer","Experiencer"
"entender","Experiencer"
"enternecer","Experiencer"
"entibiar","Experiencer"
"entontecer","Experiencer"
"entortar","Experiencer"
"entreter","Experiencer"
"entristecer","Experiencer"
"entuchar","Experiencer"
"entupir","Experiencer"
"entusiamar","Experiencer"
"entusiasmar","Experiencer"
"envergonhar","Experiencer"
"envesgar","Experiencer"
"enviesar","Experiencer"
"envilecer","Experiencer"
"envolver","Experiencer"
"enxergar","Experiencer"
"eriçar","Experiencer"
"erriçar","Experiencer"
"esborrachar","Experiencer"
"esbracejar","Experiencer"
"escabujar","Experiencer"
"escachar","Experiencer"
"escalavrar","Experiencer"
"escaldar","Experiencer"
"escalpelizar","Experiencer"
"escandalizar","Experiencer"
"escandecer","Experiencer"
"escarafunchar","Experiencer"
"escarnecer","Experiencer"
"escarvar","Experiencer"
"escavar","Experiencer"
