"verbo","papel"
"ansiar","Agent"
"antecipar","Agent"
"antegostar","Agent"
"antegozar","Agent"
"anteparar","Agent"
"antepor","Agent"
"antever","Agent"
"anular","Agent"
"anunciar","Agent"
"apadrinhar","Agent"
"apagar","Agent"
"apalear","Agent"
"apalpar","Agent"
"apanha","Agent"
"apanhar","Agent"
"aparafusar","Agent"
"aparar1","Agent"
"aparatar","Agent"
"aparceirar","Agent"
"aparecer","Agent"
"aparelhar","Agent"
"apartar","Agent"
"apascentar","Agent"
"apaziguar","Agent"
"apear","Agent"
"apelar","Agent"
"apelidar","Agent"
"apensar","Agent"
"aperceber","Agent"
"aperfeiçoar","Agent"
"apertar","Agent"
"apestar","Agent"
"apetecer","Agent"
"apiloar","Agent"
"apinhar","Agent"
"apisoar","Agent"
"aplacar","Agent"
"aplainar","Agent"
"aplanar","Agent"
"aplaudir","Agent"
"aplicar","Agent"
"apodar","Agent"
"apodrecer","Agent"
"apoiar","Agent"
"apontar","Agent"
"apor","Agent"
"aporrear","Agent"
"aportuguesar","Agent"
"aposentar","Agent"
"apostar","Agent"
"apostatar","Agent"
"apostolar","Agent"
"apostolizar","Agent"
"apoteosar","Agent"
"apoucar","Agent"
"apreender","Agent"
"apregoar","Agent"
"aprender","Agent"
"apresar","Agent"
"apresentar","Agent"
"apresilhar","Agent"
"apressar","Agent"
"aprimorar","Agent"
"aprisionar","Agent"
"aprofundar","Agent"
"aprontar","Agent"
"apropositar","Agent"
"apropriar","Agent"
"aprovar","Agent"
"aproveitar","Agent"
"aprovisionar","Agent"
"aproximar","Agent"
"apunhar","Agent"
"apupar","Agent"
"apurar","Agent"
"aquartelar","Agent"
"aquebrantar","Agent"
"aquecer","Agent"
"aquentar","Agent"
"aquietar","Agent"
"aramar","Agent"
"arborizar","Agent"
"ardejar","Agent"
"arder","Agent"
"arear1","Agent"
"arejar","Agent"
"arfar","Agent"
"argamassar","Agent"
"argentear","Agent"
"argumentar","Agent"
"argüir","Agent"
"armar","Agent"
"armazenar","Agent"
"arquear","Agent"
"arquejar1","Agent"
"arquejar2","Agent"
"arquitetar","Agent"
"arquivar","Agent"
"arraigar","Agent"
"arrancar","Agent"
"arranhar","Agent"
"arranjar","Agent"
"arrasar","Agent"
"arrastar","Agent"
"arrazoar","Agent"
"arrear1","Agent"
"arrear2","Agent"
"arrebanhar","Agent"
"arrebatar","Agent"
"arrebentar","Agent"
"arredar","Agent"
"arredondar","Agent"
"arrefecer","Agent"
"arremangar","Agent"
"arrematar","Agent"
"arremessar","Agent"
"arremeter","Agent"
"arrendar1","Agent"
"arrenegar","Agent"
"arrepanhar","Agent"
"arrepelar","Agent"
"arriar","Agent"
"arribar","Agent"
"arrimar","Agent"
"arriscar","Agent"
"arrochar","Agent"
"arrojar","Agent"
"arrolar1","Agent"
"arrolhar","Agent"
"arrombar","Agent"
"arrostar","Agent"
"arrotar","Agent"
"arroxar","Agent"
"arroxear","Agent"
"arruar","Agent"
"arruinar","Agent"
"arrular","Agent"
"arrulhar","Agent"
"arrumar","Agent"
"articular","Agent"
"artificializar","Agent"
"artificiar","Agent"
"arvorar","Agent"
"ascender","Agent"
"asfixiar","Agent"
"asilar","Agent"
"asperger","Agent"
"aspergir","Agent"
"aspirar","Agent"
"assalariar","Agent"
"assaltar","Agent"
"assanhar","Agent"
"assar","Agent"
"assassinar","Agent"
"assear","Agent"
"assediar","Agent"
"assegurar","Agent"
"assemelhar","Agent"
"assentar","Agent"
"assentir","Agent"
"assessorar","Agent"
"asseverar","Agent"
"assimilar","Agent"
"assimilhar","Agent"
"assinar","Agent"
"assistir","Agent"
"assoar","Agent"
"assobiar","Agent"
"associar","Agent"
"assolar","Agent"
"assoprar","Agent"
"assoviar","Agent"
"assumir","Agent"
"atacar","Agent"
"atalhar","Agent"
"atar","Agent"
"atarraxar","Agent"
"atassalhar","Agent"
"ataviar","Agent"
"atear","Agent"
"atender","Agent"
"atentar3","Agent"
"atenuar","Agent"
"atestar1","Agent"
"atestar2","Agent"
"atiçar","Agent"
"atinar","Agent"
"atingir","Agent"
"atirar","Agent"
"atochar","Agent"
"atopetar","Agent"
"atraiçoar","Agent"
"atrair","Agent"
"atrelar","Agent"
"atritar","Agent"
"atroar","Agent"
"atroçoar","Agent"
"atrofiar","Agent"
"atufar","Agent"
"atulhar","Agent"
"auferir","Agent"
"augurar","Agent"
"aumentar","Agent"
"aureolar","Agent"
"autografar","Agent"
"autorizar","Agent"
"auxiliar","Agent"
"avaliar","Agent"
"avançar","Agent"
"avantajar","Agent"
"avariar","Agent"
"avelhentar","Agent"
"aventar","Agent"
"aventurar","Agent"
"avergar","Agent"
"avergonhar","Agent"
"averiguar","Agent"
"avermelhar","Agent"
"avexar","Agent"
"aviar","Agent"
"avigorar","Agent"
"aviltar","Agent"
"avinagrar","Agent"
"avincar","Agent"
"avisar","Agent"
"aviventar","Agent"
"avoaçar","Agent"
"avoar","Agent"
"avocar","Agent"
"avolumar","Agent"
"avultar","Agent"
"azedar","Agent"
"azeitar","Agent"
"azurrar","Agent"
"badalar","Agent"
"badalejar","Agent"
